date,avg_sentiment,news_count
2017-09-29,0.4576,1
2017-10-31,0.12925,2
2017-11-12,0.7506,1
2017-11-13,-0.0258,1
2017-11-14,0.0258,1
2017-11-20,0.5859,1
2017-11-23,0.4019,1
2017-11-27,0.0,1
2017-11-28,0.5106,1
2017-12-01,0.5267,1
2017-12-04,-0.5994,1
2017-12-05,0.0,1
2017-12-08,0.2732,1
2017-12-11,-0.5927,1
2017-12-15,0.08895,2
2017-12-19,0.0,2
2017-12-20,0.2732,1
2017-12-21,0.5719,1
2017-12-28,-0.34,1
2018-01-02,-0.0772,1
2018-01-05,0.0,1
2018-01-10,-0.2263,1
2018-01-13,0.0,1
2018-01-21,0.2023,1
2018-01-23,0.3612,1
2018-01-30,0.0,1
2018-01-31,0.0,1
2018-02-01,0.0,1
2018-02-02,0.3818,1
2018-02-05,0.0,1
2018-02-08,-0.1902,2
2018-02-15,0.0,1
2018-02-16,0.0,1
2018-02-26,0.0,1
2018-02-27,0.34,1
2018-03-09,-0.4019,1
2018-03-10,0.0,1
2018-03-19,0.1366,2
2018-03-21,0.0,1
2018-03-22,0.0,3
2018-03-25,0.0,1
2018-03-29,-0.4939,1
2018-04-03,0.4215,1
2018-04-05,0.0,1
2018-04-10,0.0,1
2018-04-17,0.0,1
2018-04-19,0.0,1
2018-04-24,0.0,1
2018-04-29,0.0,1
2018-05-02,-0.4404,1
2018-05-08,0.3818,1
2018-05-14,0.6597,1
2018-05-19,0.5106,1
2018-05-22,0.0,1
2018-06-06,-0.2294,2
2018-06-13,0.0772,1
2018-06-15,0.0,1
2018-06-22,0.0,1
2018-06-26,-0.34,1
2018-07-02,-0.064,2
2018-07-03,0.0,1
2018-07-04,0.0,2
2018-07-11,0.0,1
2018-07-13,0.0,1
2018-07-14,0.6871,1
2018-07-16,0.5423,1
2018-07-17,0.0,1
2018-07-18,0.0,1
2018-07-19,0.4221,2
2018-07-20,0.3818,1
2018-07-21,-0.3818,1
2018-07-24,0.19063333333333332,3
2018-07-31,0.3454,2
2018-08-01,0.4019,1
2018-08-02,0.0258,1
2018-08-09,0.2294,2
2018-08-10,-0.2263,1
2018-08-17,0.0,1
2018-08-19,0.5994,1
2018-08-24,0.0,1
2018-08-25,0.0,2
2018-08-29,0.5859,1
2018-08-31,0.0,1
2018-09-04,-0.05135,2
2018-09-05,-0.5466500000000001,2
2018-09-07,-0.01256666666666667,3
2018-09-10,0.3182,1
2018-09-13,0.28593999999999997,5
2018-09-16,0.0,2
2018-09-17,0.1858,3
2018-09-18,0.0,1
2018-09-19,0.0,1
2018-09-24,0.0,2
2018-09-26,0.5267,1
2018-10-03,-0.2263,1
2018-10-06,0.0,2
2018-10-16,0.3182,1
2018-10-17,0.5106,1
2018-10-19,0.0,1
2018-10-20,0.0,1
2018-10-21,0.0,1
2018-10-24,0.18076666666666666,3
2018-10-25,-0.08795,2
