date,avg_sentiment,news_count
2017-09-23,0.6808,1
2017-12-13,0.0,1
2017-12-15,-0.031766666666666665,3
2017-12-16,0.4215,1
2017-12-19,-0.4019,1
2018-01-10,0.0,1
2018-01-21,0.2023,1
2018-01-23,0.3612,1
2018-01-25,0.0,1
2018-02-02,0.3818,1
2018-02-04,0.0,1
2018-02-08,-0.3804,1
2018-02-13,0.34,1
2018-02-15,-0.10115,2
2018-02-18,0.4588,1
2018-02-22,-0.0772,1
2018-03-10,0.0,1
2018-03-24,0.0,1
2018-04-05,0.0,1
2018-04-10,0.3818,1
2018-04-28,0.0,1
2018-04-29,0.0,1
2018-05-14,0.6597,1
2018-05-19,0.5106,1
2018-05-25,-0.3818,1
2018-06-13,0.0772,1
2018-07-02,0.0,1
2018-07-11,0.0,1
2018-07-14,0.6871,1
2018-07-17,0.0,1
2018-07-18,0.0,1
2018-08-09,0.0,1
2018-08-25,0.0,1
2018-09-05,-0.5994,1
2018-09-06,0.3182,1
2018-09-13,0.0,1
2018-09-16,0.0,1
2018-10-06,0.0,1
2018-10-29,0.6674,1
2018-10-30,0.0,1
2018-11-14,0.0,1
2018-11-19,0.0,1
2018-12-10,0.3182,1
2018-12-12,0.3182,1
2018-12-27,0.5719,1
2019-01-01,-0.1027,1
2019-01-04,-0.0516,1
2019-01-07,0.21075,2
2019-01-08,-0.4767,1
2019-01-09,0.0,1
2019-01-12,-0.5719,1
2019-01-17,-0.3818,1
2019-01-18,0.2023,1
2019-01-20,0.23954999999999999,2
2019-01-22,-0.5423,1
2019-01-23,0.0,1
2019-01-25,0.0,1
2019-01-26,0.2023,1
2019-02-20,0.0,1
2019-02-26,0.0,1
2019-03-10,0.0,1
2019-03-11,0.0,1
2019-03-12,0.0,1
2019-03-17,0.0,1
2019-04-06,-0.5423,1
2019-05-08,0.0,1
2019-05-16,0.0,1
2019-05-20,0.0,1
2019-05-21,0.4019,1
2019-06-07,0.0,1
2019-07-04,0.0,1
2019-10-19,0.2023,1
2019-10-28,0.0,1
2019-10-29,0.0,1
2019-10-30,0.0,1
2019-11-27,-0.6124,1
2019-12-10,-0.1027,1
2019-12-19,-0.1779,1
2020-01-05,-0.07655,2
2020-01-17,0.34,1
2020-01-28,0.0,1
2020-02-03,0.0,1
2020-02-14,0.0,1
2020-02-18,-0.4588,1
2020-02-28,0.3612,1
2020-05-13,0.0,1
2020-05-14,0.0,1
2020-05-19,0.34,1
2020-06-09,0.0,1
2020-06-16,0.0,1
2020-08-01,0.0,1
2020-08-05,-0.4767,1
2020-08-07,-0.4767,1
2020-08-16,0.0,1
2020-08-18,0.0,1
2020-08-19,0.0,1
2020-08-29,-0.4767,1
2020-08-30,-0.1779,1
2020-09-01,0.0,1
2020-09-05,0.0,2
2020-09-08,-0.5106,1
2020-09-14,-0.1027,1
2020-09-23,-0.5719,1
2020-10-14,-0.3182,1
2020-10-20,0.0,1
2020-10-27,0.0,1
2020-11-06,0.0,1
2020-11-11,-0.5267,1
2020-11-13,-0.4939,1
2020-11-15,0.2023,1
2020-11-17,0.0,1
2020-11-20,0.0,2
2020-11-21,0.0,1
2020-11-22,0.5267,1
2020-11-24,0.20095,2
2020-11-25,0.4767,1
2020-11-28,0.0,1
2020-12-02,0.0,1
2020-12-03,0.0,1
2020-12-05,0.0,1
2020-12-09,0.08895,2
2020-12-10,0.4019,1
2020-12-11,0.2263,1
2020-12-12,-0.1027,1
2020-12-13,0.0,1
2020-12-15,0.10115,2
2020-12-17,0.0,1
2020-12-19,0.318,2
2020-12-21,-0.7579,1
2020-12-23,-0.2263,1
2020-12-24,0.0,1
2020-12-28,0.0,1
2020-12-30,0.4019,1
2020-12-31,0.1953,3
2021-01-02,0.3393333333333333,3
2021-01-04,-0.3182,1
2021-01-05,0.5600333333333333,3
2021-01-08,0.8934,1
2021-01-10,0.9325,1
2021-01-12,0.2024,3
2021-01-13,0.2919,3
2021-01-14,-0.5423,1
2021-01-15,0.22513333333333332,3
2021-01-16,-0.9159,1
2021-01-17,-0.026000000000000023,2
2021-01-18,0.8625,1
2021-01-19,0.0,1
2021-01-21,0.48583333333333334,3
2021-01-22,0.0,1
2021-01-24,0.6369,1
2021-01-25,0.5574,1
2021-01-26,0.6908,1
2021-01-31,0.765,1
2021-02-02,0.20055714285714285,7
2021-02-03,0.30666666666666664,3
2021-02-04,0.22286,5
2021-02-05,0.48178,5
2021-02-06,0.4146,3
2021-02-07,0.32106666666666667,3
2021-02-08,0.21075,2
2021-02-09,0.7314,4
2021-02-10,0.5991500000000001,2
2021-02-11,0.8402,1
2021-02-12,0.91,1
2021-02-13,0.0836,1
2021-02-14,0.6977333333333333,3
2021-02-15,-0.148,2
2021-02-16,0.74985,2
2021-02-17,-0.15575000000000003,2
2021-02-18,0.2543666666666667,3
2021-02-19,0.0013999999999999885,7
2021-02-20,0.56395,2
2021-02-21,0.2972,2
2021-02-22,0.058816666666666656,6
2021-02-23,-0.03076249999999999,8
2021-02-24,0.02063333333333332,3
2021-02-25,0.5432333333333333,6
2021-02-26,0.8083666666666667,3
2021-02-27,-0.2784333333333333,3
2021-02-28,-0.14239999999999997,3
2021-03-01,0.12861666666666668,6
2021-03-02,0.24142000000000002,5
2021-03-03,0.028549999999999964,4
2021-03-04,0.34467499999999995,4
